Major Code,Major Title,Plan Title,Course ID,Course Name,Year Level,Term Season,Fifth Year,Credits,Credits Minimum,Prerequisites,Prerequisite Term,Has Prerequisites,Is Prerequisite For
3576,"Chemistry, BA",Chemistry - Plan B,CEM 161,Chemistry Laboratory I,Freshman,Spring,No,120,1,,1,False,6
3576,Chemistry,Chemistry BA - Plan A,CEM 161,Chemistry Laboratory I,Freshman,Fall,No,120,1,,1,False,6
3576,"Chemistry, BA",Chemistry - Plan B,MTH 103,College Algebra,Freshman,Fall,No,120,3,,1,False,23
3576,Chemistry,Chemistry BA - Plan A,MTH 116,College Algebra and Trigonometry,Freshman,Fall,No,120,5,,1,False,4
3576,Chemistry,Chemistry BA - Plan A,CEM 162,Chemistry Laboratory II,Freshman,Spring,No,120,1,(CEM 161 AND CEM 186H),2,True,5
3576,"Chemistry, BA",Chemistry - Plan B,MTH 114,Trigonometry,Freshman,Spring,No,120,3,MTH 103 OR MTH 103B,2,True,8
3576,Chemistry,Chemistry BA - Plan A,MTH 132,Calculus I,Freshman,Spring,No,120,3,(MTH 103 AND MTH 103B),2,True,10
3576,"Chemistry, BA",Chemistry - Plan B,CEM 141,General Chemistry,Freshman,Spring,No,120,4,(CEM 151 AND MTH 103B),3,True,29
3576,Chemistry,Chemistry BA - Plan A,CEM 141,General Chemistry,Freshman,Fall,No,120,4,(CEM 151 AND MTH 103B),3,True,29
3576,Chemistry,Chemistry BA - Plan A,CEM 142,General and Inorganic Chemistry,Freshman,Spring,No,120,3,(CEM 141 AND CEM 152),4,True,18
3576,Chemistry,Chemistry BA - Plan A,CEM 252,Organic Chemistry II,Sophomore,Spring,No,120,3,,1,False,5
3576,"Chemistry, BA",Chemistry - Plan B,PHY 232,Introductory Physics II,Sophomore,Spring,No,120,3,PHY 193H,1,True,5
3576,Chemistry,Chemistry BA - Plan A,PHY 232,Introductory Physics II,Sophomore,Spring,No,120,3,PHY 193H,1,True,5
3576,"Chemistry, BA",Chemistry - Plan B,PHY 251,Introductory Physics Laboratory I,Sophomore,Fall,No,120,1,,1,False,1
3576,Chemistry,Chemistry BA - Plan A,PHY 251,Introductory Physics Laboratory I,Sophomore,Fall,No,120,1,,1,False,1
3576,"Chemistry, BA",Chemistry - Plan B,CEM 162,Chemistry Laboratory II,Sophomore,Fall,No,120,1,(CEM 161 AND CEM 186H),2,True,5
