Major Code,Major Title,Plan Title,Course ID,Course Name,Year Level,Term Season,Fifth Year,Credits,Credits Minimum,Prerequisites,Has Prerequisites
3576,"Chemistry, BA",Chemistry - Plan B,Electives,Course name not found in registrar data,Freshman,Fall,No,120,3,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,Electives,Course name not found in registrar data,Freshman,Spring,No,120,3,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,IAH Below 211,Course name not found in registrar data,Freshman,Spring,No,120,4,,FALSE
3576,Chemistry,Chemistry BA - Plan A,IAH Below 211,Course name not found in registrar data,Freshman,Spring,No,120,4,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,ISS 200-Level,Course name not found in registrar data,Freshman,Fall,No,120,4,,FALSE
3576,Chemistry,Chemistry BA - Plan A,ISS 200-Level,Course name not found in registrar data,Freshman,Spring,No,120,4,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,WRA 1XX,Course name not found in registrar data,Freshman,Fall,No,120,4,,FALSE
3576,Chemistry,Chemistry BA - Plan A,WRA 1XX,Course name not found in registrar data,Freshman,Fall,No,120,4,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,MTH 103,College Algebra,Freshman,Fall,No,120,3,MTH 1825,TRUE
3576,Chemistry,Chemistry BA - Plan A,MTH 116,College Algebra and Trigonometry,Freshman,Fall,No,120,5,MTH 1825,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 141,General Chemistry,Freshman,Spring,No,120,4,MTH 103B,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 141,General Chemistry,Freshman,Fall,No,120,4,MTH 103B,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,MTH 114,Trigonometry,Freshman,Spring,No,120,3,MTH 103 OR MTH 103 OR MTH 103 OR MTH 103 OR MTH 103,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 142,General and Inorganic Chemistry,Freshman,Spring,No,120,3,CEM 141,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 161,Chemistry Laboratory I,Freshman,Spring,No,120,1,CEM 141,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 161,Chemistry Laboratory I,Freshman,Fall,No,120,1,CEM 141,TRUE
3576,Chemistry,Chemistry BA - Plan A,MTH 132,Calculus I,Freshman,Spring,No,120,3,(LB 117 AND MTH 116),TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 162,Chemistry Laboratory II,Freshman,Spring,No,120,1,CEM 161,TRUE
3576,Chemistry,Chemistry BA - Plan A,Electives,Course name not found in registrar data,Sophomore,Spring,No,120,3,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,ISS 300-Level,Course name not found in registrar data,Sophomore,Fall,No,120,4,,FALSE
3576,Chemistry,Chemistry BA - Plan A,ISS 300-Level,Course name not found in registrar data,Sophomore,Spring,No,120,4,,FALSE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 142,General and Inorganic Chemistry,Sophomore,Fall,No,120,3,CEM 141,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 251,Organic Chemistry I,Sophomore,Spring,No,120,3,CEM 141,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 251,Organic Chemistry I,Sophomore,Fall,No,120,3,CEM 141,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,MTH 132,Calculus I,Sophomore,Fall,No,120,3,(LB 117 AND MTH 116),TRUE
3576,"Chemistry, BA",Chemistry - Plan B,PHY 231,Introductory Physics I,Sophomore,Fall,No,120,3,MTH 114,TRUE
3576,Chemistry,Chemistry BA - Plan A,PHY 231,Introductory Physics I,Sophomore,Fall,No,120,3,MTH 114,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 162,Chemistry Laboratory II,Sophomore,Fall,No,120,1,CEM 161,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 252,Organic Chemistry II,Sophomore,Spring,No,120,3,CEM 251,TRUE
3576,"Chemistry, BA",Chemistry - Plan B,CEM 262,Quantitative Analysis,Sophomore,Spring,No,120,3,CEM 142,TRUE
3576,Chemistry,Chemistry BA - Plan A,CEM 262,Quantitative Analysis,Sophomore,Fall,No,120,3,CEM 142,TRUE
