Curriculum,Data Science BS (CMSE) - Start at MTH 132,,,,,,,,,,
Institution,Michigan State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I,MTH,132,,,,3,,,"Calculus I",1
2,Writing as Inquiry,WRA,101,,,,4,,,"Writing as Inquiry",1
3,ISS 200-Level,ISS,200,,,,4,,,"ISS 200-Level",1
4,General Chemistry,CEM,141,,,,4,,,"General Chemistry",1
5,Introduction to Data Science,STT,180,1,,,4,,,"Introduction to Data Science",2
6,General Chemistry Laboratory,CEM,161,4,,,1,,,"General Chemistry Laboratory",2
7,Cell and Molecular Biology,BS,161,,,,3,,,"Cell and Molecular Biology",2
8,IAH 201-210,IAH,201,,,,4,,,"IAH 201-210",2
9,Calculus II,MTH,133,1,,,4,,,"Calculus II",2
10,Computational Modeling and Data Analysis I,CMSE,201,1,,,4,,,"Computational Modeling and Data Analysis I",2
11,Physics for Scientists and Engineers I,PHY,183,1,,,4,,,"Physics for Scientists and Engineers I",3
12,General and Inorganic Chemistry,CEM,142,4,,,3,,,"General and Inorganic Chemistry",3
13,ISS 300-Level,ISS,300,3,,,4,,,"ISS 300-Level",3
14,Multivariable Calculus,MTH,234,9,,,4,,,"Multivariable Calculus",3
15,Computational Modeling and Data Analysis II,CMSE,202,10,,,4,,,"Computational Modeling and Data Analysis II",4
16,Physics for Scientists and Engineers II,PHY,184,11,,,4,,,"Physics for Scientists and Engineers II",4
17,IAH 211 or Higher,IAH,211,8,,,4,,,"IAH 211 or Higher",4
18,Matrix Algebra with Computational Applications,MTH,314,14,,,3,,,"Matrix Algebra with Computational Applications",4
19,Probability and Statistics for Data Science,STT,380,5;14;18,,,4,,,"Probability and Statistics for Data Science",5
20,Introduction to Programming II,CSE,232,15,,,4,,,"Introduction to Programming II",5
21,Fundamentals of Data Science Methods,CMSE,381,10;18;5;19,,,4,,,"Fundamentals of Data Science Methods",6
22,Algorithms and Data Structures,CSE,331,20;15,,,3,,,"Algorithms and Data Structures",6
23,Optimization Methods in Data Science,CMSE,382,15;21,,,4,,,"Optimization Methods in Data Science",7
24,Advanced Data Science Elective I,CMSE,4XX,22,,,3,,,"Advanced Data Science Elective I",7
25,Advanced Data Science Elective II,CMSE,4XX,22,,,3,,,"Advanced Data Science Elective II",7
26,Experiential Learning in Data Science,CMSE,495,23;20;2,,,4,,,"Experiential Learning in Data Science",8
27,Advanced Data Science Elective III,CMSE,4XX,22,,,3,,,"Advanced Data Science Elective III",8
28,Advanced Data Science Elective IV,CMSE,4XX,22,,,3,,,"Advanced Data Science Elective IV",8
